nct_id,condition,facility_name,city,sampling_method,overall_status
NCT04476914,Respiratory Failure|SARS-CoV 2|Corona Virus Infection|Post Intensive Care Unit Syndrome|Family Members|Post Traumatic Stress Disorder|Anxiety|Depression|,"Eastern Colorado Veterans Affairs Health Care System, University Of Colorado",Aurora,Non-Probability Sample,Recruiting
NCT04386551,Sars-CoV2|RT-PCR|Saliva Collection|Nasopharyngeal Sample|,CHU Amiens,Amiens,Non-Probability Sample,Recruiting
NCT04514016,SARS-CoV Infection|Covid19|,Batchelor's Children's Research Institute,Miami,Non-Probability Sample,Recruiting
NCT04479631,COVID-19|,Investigative Site,Beijing,NA,Recruiting
NCT04493294,COVID-19 Pneumonitis|,NA,NA,NA,Not yet recruiting
NCT04459390,COVID19|,Faculty of Medicine,Assiut,Non-Probability Sample,Recruiting
NCT04400448,Covid-19|,NA,NA,Non-Probability Sample,Not yet recruiting
NCT04363736,COVID-19 Pneumonia|,Mayo Clinic - Arizona,Phoenix,NA,Completed
NCT04532554,Covid19|,Asalam,Maadi,NA,Withdrawn
NCT04402203,COVID-19|Favipiravir (Favipira)|,"Mahanagar General Hospital, Dhaka (Site-1), Mugda Medical College Hospital, Dhaka (Site-2), Kurmitola General Hospital, Dhaka (Site-3), Dhaka Medical College Hospital, Dhaka (Site-4)",Dhaka,NA,Recruiting
NCT04428021,COVID-19|,NA,NA,NA,Not yet recruiting
NCT04435314,covid19|,NA,NA,NA,Not yet recruiting
NCT04468581,Coronavirus|,Yale NUS,Singapore,Non-Probability Sample,"Active, not recruiting"
NCT04383587,SARS-CoV 2|COVID-19|,Mayo Clinic in Florida,Jacksonville,NA,Completed
NCT04400838,Coronavirus|,University Hospital Southampton NHS Foundation Trust,Southampton,NA,Recruiting
NCT04388670,COVID-19|Critical Illness|,Fondazione IRCCS Ca'Granda - Ospedale Maggiore Policlinico,Milan,Non-Probability Sample,Recruiting
NCT04403581,Covid-19|,NA,NA,Non-Probability Sample,Not yet recruiting
NCT04358640,"Critical Illness|Sars-CoV2|SARS Pneumonia|Coronavirus Infection|Stress Disorders, Post-Traumatic|",Intensive care unit CHU Nimes,Nîmes,Non-Probability Sample,Recruiting
NCT04403828,COVID 19|,Faculty of Dentistry,Fayoum,Non-Probability Sample,Completed
NCT04463602,COVID-19|,Avant Sante Site 1,Monterrey,NA,Recruiting
NCT04412538,COVID-19|,"West China Second University Hospital, Sichuan University / West China women's and children's Hospital",Chengdu,NA,Recruiting
NCT04427267,Thermal Condition of Health Workers Who Use Personal Protective Equipment From Biological Hazards During Their Work With COVID-19 Patients|,Federal State Budgetary Scientific Institution Izmerov Research Institute of Occupational Health,Moscow,Non-Probability Sample,Completed
NCT04399681,"COVID|Pneumonia, Viral|",Istanbul Kanuni Sultan Suleyman Training and Research Hospital,Istanbul,NA,Recruiting
NCT04378803,Well Aging|,University of Miami,Coral Gables,NA,Completed
NCT04573062,Post-Coronavirus Disease 19|,National Institutes of Health Clinical Center,Bethesda,Non-Probability Sample,Recruiting
NCT04381377,"Infections, Coronavirus|","Regional state budgetary institution of public health ""City hospital No. 5 of Barnaul""",Barnaul,NA,Recruiting
NCT04394429,Sars-CoV2|,Service d'Anesthésie-Réanimation - Nouvel Hôpital Civil,Strasbourg,Non-Probability Sample,Recruiting
NCT04366089,"COVID|SARS-CoV 2|Pneumonia, Viral|Coronavirus Infection|",Francesco Pugliese,Rome,NA,Recruiting
NCT04349228,COVID19|Sars-CoV2|Hydroxychloroquine|Prophylaxis|Healthcare Worker|,Eshmoun Clinical Research Centre/ Hôpital Abderrahmane Mami-Ariana,Tunis,NA,Withdrawn
NCT04346420,COVID|Hypoxemia|,Cliniques universitaires Saint-Luc,Brussels,NA,Completed
NCT04328454,Coronavirus|,Shanghai 10th People's Hospital,Shanghai,Non-Probability Sample,Recruiting
NCT04412473,Sars-CoV2|,Service Médecine Intensive et Réanimation,Strasbourg,Non-Probability Sample,Recruiting
NCT04507282,COVID-19|,Bursa Yüksek İhtisas Hastanesi,Yıldırım,Probability Sample,Completed
NCT04470739,Covid19|Thymic Hypoplasia|,Kanuni Sultan Suleyman Training and Research Hospital,Istanbul,NA,Recruiting
NCT04519502,COVID-19|Pregnancy Complications|,University of Alabama - Birmingham,Birmingham,Probability Sample,Recruiting
NCT04363827,COVID19|Hydroxychloroquine|Prophylaxis|Treatment|SARS-CoV-2|,Irst Irccs,Meldola,NA,Recruiting
NCT04475484,Investigating Psychological Impact|Confinement Measures|Coronavirus Outbreak|School-age Children|,hôpital Femme Mère Enfant,Bron,Non-Probability Sample,Recruiting
NCT04383483,Coronavirus as the Cause of Diseases Classified Elsewhere|,Bursa Yüksek Ihtisas Training and Research Hospital,Bursa,Probability Sample,Recruiting
NCT04507256,COVID-19|,Research Site,Harrow,NA,Recruiting
NCT04549922,Covid19|,NA,NA,NA,Not yet recruiting
NCT04359329,COVID|,Stony Brook University Hospital,Stony Brook,NA,Recruiting
NCT04360538,Critical Illness|Corona Virus Infection|Respiratory Failure|Covid-19|,University of Chicago Medical Center,Chicago,Probability Sample,Recruiting
NCT04412317,Covid-19|,ACTIV network,Créteil,Non-Probability Sample,Recruiting
NCT04410354,COVID-19|,Mayo Clinic in Arizona,Phoenix,NA,Recruiting
NCT04573361,Musculoskeletal Pain|Disability Physical|Psychological Distress|,Real Centro Universitario María Cristina,San Lorenzo De El Escorial,NA,Completed
NCT04488796,Health Behaviour Change|,University of Western Ontario,London,NA,Recruiting
NCT04519424,Coronavirus Disease 2019 (COVID-19)|,Memorial Health University Medical Center,Savannah,NA,Not yet recruiting
NCT04347512,"Sars-CoV-2, Community-Acquired Pneumonia,COVID-19|",NA,NA,NA,Withdrawn
NCT04374695,COVID-19|,NA,NA,Non-Probability Sample,Not yet recruiting
NCT04442958,Acute Respiratory Distress Syndrome|,Istanbul Bagcılar Training and Research Hospital,Istanbul,NA,Completed
NCT04388644,Corona Virus Infection|,"Branch of Chinese Medicine, Taipei City Hospital",Taipei,Non-Probability Sample,Recruiting
NCT04441632,"Burnout|Stress, Emotional|",Cedars-Sinai Medical Center,Los Angeles,NA,Completed
NCT04347070,Sars-CoV2|COVID-19|,Uhmontpellier,Montpellier,Probability Sample,Recruiting
NCT04537299,Covid19|SARS-CoV Infection|,Mayo Clinic,Rochester,NA,Not yet recruiting
NCT04344080,COVID-19|,University Medical Center Hamburg-Eppendorf,Hamburg,NA,Recruiting
NCT04339387,Coronavirus|Coronavirus Sars-Associated as Cause of Disease Classified Elsewhere|,Brigham and Women's Hospital,Boston,Non-Probability Sample,Recruiting
NCT04302688,Pneumonitis|,Renmin Hospital of Wuhan University,Wuhan,Non-Probability Sample,Completed
NCT04548557,Covid19|,University of Health Sciences,Lahore,NA,Not yet recruiting
NCT04387890,COVID-19|SARS-CoV 2|Health Personnel|,NA,NA,Probability Sample,Not yet recruiting
NCT04436276,Healthy|,Optimal Research,San Diego,NA,Recruiting
NCT04468308,Senile Cataract|,Medical University Innsbruck,Innsbruck,Probability Sample,Recruiting
NCT04353037,Coronavirus|Corona Virus Infection|,ProHealth New York,New York,NA,Recruiting
NCT04570488,COVID|Corona Virus Infection|Adverse Event|,NYU Langone Health,New York,NA,Recruiting
NCT04425759,Covid19|Corona Virus Infection|SARS-CoV 2|COVID|,Hospital de Mataró,Mataró,Non-Probability Sample,Recruiting
NCT04406324,COVID-19|,Hôpital Avicenne,Bobigny,Non-Probability Sample,Recruiting
NCT04393415,Virus|,Aljazeera( Al Gazeera) hospital,Giza,NA,Recruiting
NCT04422470,Coronavirus Infection and Hematologic Diseases|,Clinical Hospital n.a. S.P. Botkin,Moscow,Non-Probability Sample,Recruiting
NCT04542967,Severe COVID-19 Disease|,Hospital Central Militar,Mexico City,NA,Recruiting
NCT04428008,COVID-19|,NA,NA,NA,Not yet recruiting
NCT04531202,Coronavirus Infection (COVID-19)|,D'Or Institute for Research and Education (IDOR),Rio de Janeiro,Non-Probability Sample,Recruiting
NCT04413071,SARS-CoV 2|COVID-19|Coronavirus|Cardiac Magnetic Resonance|Myocarditis|Cardiac Anomaly|,University Hospital of Salamanca,Salamanca,Probability Sample,Completed
NCT03944447,Chronic Pain|Chronic Pain Syndrome|Chronic Pain Due to Injury|Chronic Pain Due to Trauma|Fibromyalgia|Seizures|Hepatitis C|Cancer|Crohn Disease|HIV/AIDS|Multiple Sclerosis|Traumatic Brain Injury|Sickle Cell Disease|Post Traumatic Stress Disorder|Tourette Syndrome|Ulcerative Colitis|Glaucoma|Epilepsy|Inflammatory Bowel Diseases|Parkinson Disease|Amyotrophic Lateral Sclerosis|Chronic Traumatic Encephalopathy|Anxiety|Depression|Insomnia|Autism|Opioid-use Disorder|Bipolar Disorder|Covid19|SARS-CoV Infection|COVID-19|Corona Virus Infection|Coronavirus|,OMNI Medical Services,Boca Raton,NA,Recruiting
NCT04547634,Cancer Metastatic|Cancer|Survivorship|,Antonio Cuesta Vargas,Málaga,NA,Enrolling by invitation
NCT04385186,"Infections, Coronavirus|",Clínica Antioquía,Medellín,NA,Not yet recruiting
NCT04279795,Coronavirus|,The Third Affiliated Hospital of Sun Yat-sen University,Guangzhou,Non-Probability Sample,Recruiting
NCT04383626,COVID|,Cairo University,Cairo,Probability Sample,Completed
NCT04458246,Chronic Disease|Chronic Diseases in Adolescence|Chronic Disease of Immune System|Chronic Kidney Diseases|,Univsersity of Sao Paulo,Sao Paulo,NA,Recruiting
NCT04480060,Covid19|,Seda Yilmaz Semerci,Istanbul,Non-Probability Sample,Completed
NCT04395976,Covid-19|,British Ayurvedic Medical Council,London,NA,Not yet recruiting
NCT04492904,Covid19|,"Clinical Nutrition Research Centre, Singapore",Singapore,Non-Probability Sample,Recruiting
NCT04449783,Covid19|Cancer|,Liverpool University Hospitals NHS Foundation Trust,Liverpool,Non-Probability Sample,Recruiting
NCT04358835,COVID-19|,NA,NA,NA,Withdrawn
NCT04411784,Inflammatory Bowel Diseases|COVID|,"Gastroenterology, Hull Royal Infirmary, Hull University Teaaching Hospitals NHS Trust",Hull,Probability Sample,"Active, not recruiting"
NCT04438850,Covid19|,IRCCS Sacro Cuore Don Calabria hospital,Negrar,NA,Recruiting
NCT04498416,Mental Health Disorder|,Hôpitaux Pédiatriques de Nice CHU-Lenval,Nice,Non-Probability Sample,Recruiting
NCT04333732,COVID 19|,Washington University School of Medicine,Saint Louis,NA,Recruiting
NCT04476953,COVID-19|,Mayo Clinic in Rochester,Rochester,NA,Enrolling by invitation
NCT04386395,SARS-CoV-2|Immune System Disorder|,Centre Hospitalier Universitaire NANCY,Vandoeuvre-les-Nancy,Non-Probability Sample,"Active, not recruiting"
NCT04569383,Covid19|,CTC North GmbH & Co KG at the University Medical Center Hamburg-Eppendorf,Hamburg,NA,Not yet recruiting
NCT04331600,COVID-19|,Uniwersytecki Szpital Kliniczny,Wrocław,NA,Recruiting
NCT04280588,Coronavirus Disease (COVID-19)|,Wan-Jin Chen,Fuzhou,NA,Recruiting
NCT04449588,COVID-19 Pneumonia|,Southwest Hospital Chongqing,Chongqing,NA,Recruiting
NCT04578132,Covid19|Genito Urinary Cancer|,Institut Català d'Oncologia L'Hospitalet,Hospitalet de Llobregat,Probability Sample,"Active, not recruiting"
NCT04459364,"Hypertension, Pulmonary|Right Ventricular Overload|COVID|",Karolinska University Hospital,Stockholm,Probability Sample,Recruiting
NCT04346355,COVID-19 Pneumonia|,Ospedale di Guastalla,Guastalla,NA,Terminated
NCT04329533,Perceived Stress|Anxiety|Sleep Disturbance|,Banner University Medicine Women's Institute,Phoenix,NA,Recruiting
NCT04332666,Coronavirus|Respiratory Failure|Coronavirus Sars-Associated as Cause of Disease Classified Elsewhere|SARS-CoV-2|,NA,NA,NA,Not yet recruiting
NCT04433988,COVID|,Faculty of Medicine,Shibīn Al Kawm,NA,Not yet recruiting
NCT04319172,"Transplant Recipient|Infections, Coronavirus|",Hospital Universitario Virgen del Rocio,Seville,Probability Sample,Recruiting
NCT04424056,Covid19|,Assistance Publique Hôpitaux de Marseille,Marseille,NA,Not yet recruiting
NCT04497441,"Covid19|Information Seeking Behavior|Social Media|Perception, Self|",Dr Bugude Shiva Shankar,Ar Rass,Probability Sample,Recruiting
NCT04321928,SARS-CoV-2|Coronavirus|COVID-19|2019-nCoV|2019nCoV|,"Institute for Translational Medicine, University of Pécs",Pécs,NA,Recruiting
NCT04408391,Covid-19|Anosmia|,CHU de Nimes,Nîmes,Non-Probability Sample,Withdrawn
NCT04431908,COVID-19|,Yale New Haven Hospital,New Haven,Non-Probability Sample,Recruiting
NCT04356443,"Respiratory Failure|Ventilatory Failure|COVID-19|Pneumonia|ARDS, Human|",Massachusetts General Hospital,Boston,Non-Probability Sample,Recruiting
NCT04460274,Covid-19|,"Republic of Turkey, Health Sciences University, Izmir Bozyaka Education and Training Hospital",İzmir,Non-Probability Sample,Completed
NCT04510038,Covid19|Myocardial Injury|,NA,NA,NA,Not yet recruiting
NCT04352465,COVID-19|,Prevent Senior Private Operadora de Saúde LTDA.,São Paulo,NA,Not yet recruiting
NCT04445389,SARS-CoV-2|,Severance hospital,Seoul,NA,Recruiting
NCT04376996,COVID-19|SARS-CoV-2|,University of Ljubljana,Ljubljana,Probability Sample,Recruiting
NCT04459286,Covid-19|,Obafemi Awolowo University Teaching Hospitals Complex,Ile-Ife,NA,Not yet recruiting
NCT04363632,Sars-CoV2|Cancer|,Institut Bergonié,Bordeaux,Probability Sample,Completed
NCT04390074,COVID-19|Critical Illness|,Björn Ahlström,Falun,Probability Sample,Completed
NCT04358211,COVID-19|,Tulane Medical Center,New Orleans,NA,Available
NCT04412655,ST Elevated Myocardial Infarction Undergoing Mechanical Reperfusion|,Giuseppe De Luca,Novara,Non-Probability Sample,"Active, not recruiting"
NCT04444323,"Telemedicine|Surgery, Plastic|",Canniesburn Regional Plastic Surgery and Burns Unit,Glasgow,NA,Not yet recruiting
NCT04408183,SARS-CoV 2|Infection|,University of Pennsylvania,Philadelphia,NA,Recruiting
NCT04391101,SARS-Cov-2|,Hospital San Vicente Fundacion,Medellín,NA,Not yet recruiting
NCT04423042,Covid19|COVID-19|Severe Acute Respiratory Syndrome Coronavirus 2|Coronavirus|Inflammation|,NA,NA,NA,Not yet recruiting
NCT04565665,COVID-19 Infection|COVID-19-Associated Acute Respiratory Distress Syndrome|,M D Anderson Cancer Center,Houston,NA,Recruiting
NCT04388410,COVID-19|,Instituto Nacional de Ciencias Medicas y Nutricion Salvador Zubiran,Mexico City,NA,Recruiting
NCT04345289,COVID|Corona Virus Infection|Viral Pneumonia|,Aalborg University Hospital,Aalborg,NA,Recruiting
NCT04527081,COVID-19|,Osaka University Hospital,Osaka,NA,"Active, not recruiting"
NCT04432805,Pregnant Women Suspected of COVID-19|,Assistance Publique Hôpitaux de Marseille,Marseille,NA,Recruiting
NCT04361123,Coronavirus|COVID|,Atrium Health,Charlotte,Non-Probability Sample,Enrolling by invitation
NCT04420299,Covid-19|,Hospital Universitario HM Montepríncipe,Boadilla Del Monte,NA,Recruiting
NCT04382534,Covid19|Respiratory Rehabilitation|Cross-sectional Study|Cohort Study|,Huarunwugang general hospital,Wuhan,Non-Probability Sample,Recruiting
NCT04464486,Oncology|,Huntsman Cancer Institute,Salt Lake City,NA,Enrolling by invitation
NCT04456595,COVID-19|,Universidade de Brasília,Brasilia,NA,Recruiting
NCT04423315,Corona Virus Infection|Thromboembolic Disease|,Vital Hospital,Bahcelievler,Non-Probability Sample,Completed
NCT04338698,COVID 19|,Faislabad Medical University,Faisalābad,NA,Recruiting
NCT04341506,COVID-19|,Northwestern Medicine,Chicago,Non-Probability Sample,Recruiting
NCT04560881,COVID-19 Virus Infection|,Fundación Huésped,Ciudad Autónoma de Buenos Aires,NA,Recruiting
NCT04413045,COVID-19|,Assiut University Hospitals,Assiut,Non-Probability Sample,Completed
NCT04367168,COVID|,Instituto Nacional de Ciencias Medicas y Nutricion,Mexico City,NA,Recruiting
NCT04330300,Hypertension|COVID-19|,University Hospital Galway,Galway,NA,Suspended
NCT04517136,"Covid19|SARS-CoV Infection|Burnout, Caregiver|Burnout, Professional|",Groupement Hospitalier Régional de Mulhouse Sud Alsace,Mulhouse,Non-Probability Sample,Recruiting
NCT04397692,"Corona Virus Infection|COVID-19|SARS-CoV 2|Nitric Oxide|Respiratory Disease|Pneumonia, Viral|Inhaled Nitric Oxide|",Baptist Health Center for Clinical Research,Little Rock,NA,Recruiting
NCT04384471,Type1diabetes|Covid19|,Institut de Recherches Cliniques de Montréal,Montreal,Non-Probability Sample,Enrolling by invitation
NCT04512118,Presence of COVID-19 Compatible CT Abnormalities|,CHRU of Nancy,Vandœuvre-lès-Nancy,Probability Sample,Completed
NCT04453566,COVID-19|Life Satisfaction|Anxiety|Mental Health Wellness 1|Athlete|Stress|,Uskudar University,Istanbul,Probability Sample,Recruiting
NCT04516811,COVID-19|SARS-CoV-2 Infection|Severe Acute Respiratory Syndrome Coronavirus 2|,Universitas Hospital,Bloemfontein,NA,Recruiting
NCT04474496,COVID-19|,University of Arkansas for Medical Sciences Northwest,Fayetteville,Non-Probability Sample,Enrolling by invitation
NCT04525287,Coronavirus Infection|COVID19|,"2nd Affiliated Hospital, School of Medicine, Zhejiang University, China",Hangzhou,Non-Probability Sample,Recruiting
NCT04417270,Diabetes Mellitus|,Lenox Hill Hospital,New York,NA,Recruiting
NCT04516915,Covid 19|,University Hospital Coventry and Warwickshire NHS Trust,Coventry,NA,Recruiting
NCT04453280,COVID|SARS-CoV-2|,Institute of Health Information and Statistics of the Czech Republic,Prague,Non-Probability Sample,Completed
NCT04498442,Covid19|Stress|Anxiety Depression|,Beth Israel Deaconess Medical Centre,Boston,NA,Recruiting
NCT04392115,Comorbidities and Coexisting Conditions|Social Isolation|,NA,NA,NA,Not yet recruiting
NCT04372004,COVID-19|,Texas Cardiac Arrhythmia Institute,Austin,NA,Recruiting
NCT04378842,Sars-CoV2|Critical Illness|,"Hôpital Roger Salengro, ICU, CHU Lille",Lille,Non-Probability Sample,Recruiting
NCT04369690,COVID-19|Chronic Disease|Psychiatric Disorder|Cardiovascular Diseases|,Southlake Regional Health Centre,Newmarket,Non-Probability Sample,Recruiting
NCT04395664,COVID-19|,"Department of Cardiology, Herlev & Gentofte Hospital",Copenhagen,Non-Probability Sample,Completed
NCT04522128,COVID|Quality of Life|Behavior|Social Isolation|,University of Manchester - online,Manchester,NA,Recruiting
NCT04392401,Intensive Care Unit|SARS-Cov-2|,Hôpital Pierre Wertheimer,Bron,Non-Probability Sample,Recruiting
NCT04542031,Covid19|Rheumatic Diseases|,The Royal Wolverhampton NHS Trust,Wolverhampton,NA,Not yet recruiting
NCT04361461,Coronavirus Infections|SARS-CoV 2|SARS (Severe Acute Respiratory Syndrome)|Pulmonary Disease|,Apsen Farmacêutica S.A.,São Paulo,NA,Withdrawn
NCT04416893,COVID19|,NA,NA,Non-Probability Sample,Not yet recruiting
NCT04345276,COVID-19|,Huoshenshan Hostipal,Wuhan,NA,Completed
NCT04372576,Ventilator Associated Pneumonia|Corona Virus Infection|,Semmelweis University,Budapest,Non-Probability Sample,Recruiting
NCT04441372,SARS-CoV2|COVID|,International Centre for Diarrhoeal Disease Research,Dhaka,Non-Probability Sample,Not yet recruiting
NCT04435795,COVID 19|,NA,NA,NA,Not yet recruiting
NCT04447638,Tracheostomy|,Canakkale Onsekiz Mart University,Canakkale,Probability Sample,Completed
NCT04474288,Covid19 Immunology|,Bassett Medical Center,Cooperstown,Non-Probability Sample,Recruiting
NCT04363749,Covid19|Neurological Complication|,NA,NA,NA,Not yet recruiting
NCT04463472,COVID-19|,Osaka City University Hospital,Osaka,NA,"Active, not recruiting"
NCT04487444,Covid19|,The Miriam Hospital,Providence,NA,Recruiting
NCT04498377,Covid19|,Tulane University School of Medicine,New Orleans,NA,Recruiting
NCT04366323,Sars-CoV2|,Hospital Universitario de Jerez de la Frontera,Jerez de la Frontera,NA,Recruiting
